dispersal_allowed,plate_id,pairwise_id,week,beta_diversity
no,CL,a9,3,0.076923077
no,CL,a10,3,0.111111111
no,CL,a11,3,0.024390244
no,CL,a12,3,0.024390244
no,CL,a13,3,0.129770992
no,CL,a14,3,0.138211382
no,CL,a15,3,0.102362205
no,CL,a16,3,0.076923077
no,CL,a17,3,0.203252033
no,CL,a18,3,0.073170732
no,CL,a19,3,0.157894737
no,CL,a20,3,0.024390244
no,CL,a21,3,0
no,CL,a22,3,0.166666667
no,CL,a23,3,0.145299145
no,CL,a24,3,0.138211382
no,CL,a25,3,0.155172414
no,CL,a26,3,0.18699187
no,CL,a27,3,0.086206897
no,CL,a28,3,0.138211382
no,CL,a29,3,0.176470588
no,CL,a30,3,0.086206897
no,CL,a31,3,0.086206897
no,CL,a32,3,0.193548387
no,CL,a33,3,0.155172414
no,CL,a34,3,0.116666667
no,CL,a35,3,0.089430894
no,CL,a36,3,0.155172414
no,CL,a37,3,0.137931034
no,CL,a38,3,0.222222222
no,CL,a39,3,0.086206897
no,CL,a40,3,0.166666667
no,CL,a41,3,0.145299145
no,CL,a42,3,0.138211382
no,CL,a43,3,0.155172414
no,CL,a44,3,0.18699187
no,CL,a45,3,0.086206897
no,CL,a46,3,0.138211382
no,CL,a47,3,0.176470588
no,CL,a48,3,0.086206897
no,CL,a49,3,0.086206897
no,CL,a50,3,0.193548387
no,CL,a51,3,0.155172414
no,CL,a52,3,0.116666667
no,CL,a53,3,0.089430894
no,CL,a54,3,0.155172414
no,CL,a55,3,0.137931034
no,CL,a56,3,0.222222222
no,CL,a57,3,0.086206897
no,CL,a58,3,0.136
no,CL,a59,3,0.022900763
no,CL,a60,3,0.193548387
no,CL,a61,3,0.129770992
no,CL,a62,3,0.193548387
no,CL,a63,3,0.129770992
no,CL,a64,3,0.165354331
no,CL,a65,3,0.193548387
no,CL,a66,3,0.193548387
no,CL,a67,3,0.075757576
no,CL,a68,3,0.14516129
no,CL,a69,3,0.109375
no,CL,a70,3,0.129770992
no,CL,a71,3,0.080645161
no,CL,a72,3,0.241935484
no,CL,a73,3,0.104477612
no,CL,a74,3,0.193548387
no,CL,a75,3,0.15625
no,CL,a76,3,0.223140496
no,CL,a77,3,0.09375
no,CL,a78,3,0.157024793
no,CL,a79,3,0.15625
no,CL,a80,3,0.129032258
no,CL,a81,3,0.157024793
no,CL,a82,3,0.157024793
no,CL,a83,3,0.147286822
no,CL,a84,3,0.107438017
